"t","type","id","Ta","To","T"
14:24:42,"bcf","09",23.61,25.29,24.613408
14:24:44,"bcf","09",23.63,25.05,24.613388
14:24:46,"bcf","09",23.67,24.95,24.613363
14:24:48,"bcf","09",23.69,25.05,24.613349
14:24:50,"bcf","09",23.71,24.95,24.613334
14:24:52,"bcf","09",23.71,24.89,24.613321
14:24:54,"bcf","09",23.71,24.91,24.613311
14:24:56,"bcf","09",23.71,24.79,24.61329
14:24:58,"bcf","09",23.71,24.73,24.613278
14:25:00,"bcf","09",23.71,24.85,24.613268
14:25:02,"bcf","09",23.73,24.69,24.613253
14:25:04,"bcf","09",23.73,24.79,24.613244
14:25:06,"bcf","09",23.71,24.83,24.613227
14:25:08,"bcf","09",23.69,24.71,24.613215
14:25:10,"bcf","09",23.71,24.75,24.613204
14:25:12,"bcf","09",23.71,24.69,24.613189
14:25:14,"bcf","09",23.73,24.79,24.613177
14:25:16,"bcf","09",23.71,24.63,24.613155
14:25:18,"bcf","09",23.73,24.83,24.613143
14:25:20,"bcf","09",23.73,24.77,24.613139
14:25:22,"bcf","09",23.73,24.99,24.613132
14:25:24,"bcf","09",23.71,24.47,24.613123
14:25:26,"bcf","09",23.71,24.65,24.613118
14:25:28,"bcf","09",23.73,24.77,24.613104
14:25:30,"bcf","09",23.73,24.89,24.613102
14:25:32,"bcf","09",23.73,24.67,24.613091
14:25:34,"bcf","09",23.73,24.59,24.613087
14:25:36,"bcf","09",23.73,24.63,24.613085
14:25:38,"bcf","09",23.73,24.77,24.613084
14:25:40,"bcf","09",23.75,24.77,24.613094
14:25:42,"bcf","09",23.71,24.71,24.613092
14:25:44,"bcf","09",23.75,24.79,24.613087
