"t","type","id","Ta","To","T"
14:41:38,"dci","08",22.49,24.75,24.612571
14:41:40,"dci","08",22.53,24.89,24.612481
14:41:42,"dci","08",22.53,24.79,24.612384
14:41:44,"dci","08",22.57,24.85,24.612292
14:41:46,"dci","08",22.57,24.79,24.612215
14:41:50,"dci","08",22.55,24.81,24.612048
14:41:54,"dci","08",22.55,24.71,24.611886
14:41:56,"dci","08",22.55,24.75,24.611808
14:41:58,"dci","08",22.53,24.83,24.611734
14:42:00,"dci","08",22.59,24.89,24.61166
14:42:02,"dci","08",22.59,24.81,24.61159
14:42:04,"dci","08",22.57,24.81,24.611522
14:42:06,"dci","08",22.57,24.83,24.61146
14:42:08,"dci","08",22.57,24.81,24.611402
14:42:10,"dci","08",22.57,24.81,24.611351
14:42:14,"dci","08",22.59,24.83,24.611269
14:42:18,"dci","08",22.57,24.89,24.611216
14:42:20,"dci","08",22.59,24.77,24.611199
14:42:22,"dci","08",22.57,24.77,24.611188
14:42:24,"dci","08",22.57,24.81,24.611185
14:42:26,"dci","08",22.57,24.83,24.611191
14:42:28,"dci","08",22.57,24.81,24.611203
14:42:30,"dci","08",22.57,24.89,24.611218
14:42:32,"dci","08",22.57,24.81,24.611237
14:42:34,"dci","08",22.57,24.83,24.611263
14:42:36,"dci","08",22.59,24.83,24.611292
14:42:38,"dci","08",22.59,24.89,24.611322
14:42:40,"dci","08",22.61,24.81,24.611363
