"t","type","id","Ta","To","T"
14:27:18,"dci","01",22.03,24.79,24.612171
14:27:20,"dci","01",22.01,24.79,24.612185
14:27:22,"dci","01",22.03,24.89,24.612202
14:27:24,"dci","01",22.03,24.79,24.612215
14:27:26,"dci","01",22.03,24.77,24.612248
14:27:28,"dci","01",22.03,24.71,24.612281
14:27:30,"dci","01",22.07,24.79,24.612328
14:27:32,"dci","01",22.03,24.75,24.612378
14:27:34,"dci","01",22.07,24.81,24.612429
14:27:36,"dci","01",22.07,24.81,24.612484
14:27:38,"dci","01",22.09,24.83,24.612546
14:27:40,"dci","01",22.07,24.83,24.612616
14:27:42,"dci","01",22.07,24.69,24.612688
14:27:44,"dci","01",22.07,24.75,24.612764
14:27:46,"dci","01",22.09,24.83,24.612834
14:27:48,"dci","01",22.09,24.77,24.612911
14:27:50,"dci","01",22.09,24.75,24.612996
14:27:52,"dci","01",22.09,24.75,24.613075
14:27:54,"dci","01",22.11,24.69,24.613158
14:27:56,"dci","01",22.11,24.75,24.613227
14:27:58,"dci","01",22.11,24.77,24.613305
14:28:00,"dci","01",22.09,24.69,24.613373
14:28:02,"dci","01",22.11,24.83,24.613452
14:28:04,"dci","01",22.11,24.73,24.613525
14:28:06,"dci","01",22.11,24.75,24.613605
14:28:08,"dci","01",22.11,24.75,24.613679
14:28:10,"dci","01",22.09,24.73,24.61375
14:28:12,"dci","01",22.11,24.67,24.613819
14:28:14,"dci","01",22.11,24.67,24.61388
14:28:16,"dci","01",22.11,24.71,24.613941
14:28:18,"dci","01",22.15,24.81,24.61399
14:28:20,"dci","01",22.11,24.73,24.614036
14:28:22,"dci","01",22.13,24.73,24.614073
14:28:24,"dci","01",22.11,24.69,24.61412
