"t","type","id","Ta","To","T"
14:55:52,"dch","06",22.67,24.63,24.610581
14:55:54,"dch","06",22.73,24.65,24.61057
14:55:56,"dch","06",22.77,24.71,24.610573
14:55:58,"dch","06",22.79,24.61,24.610582
14:56:00,"dch","06",22.77,24.61,24.610599
14:56:02,"dch","06",22.85,24.69,24.610622
14:56:04,"dch","06",22.85,24.61,24.610659
14:56:06,"dch","06",22.87,24.63,24.6107
14:56:08,"dch","06",22.91,24.71,24.610756
14:56:10,"dch","06",22.95,24.65,24.61082
14:56:12,"dch","06",22.95,24.67,24.610884
14:56:14,"dch","06",22.99,24.69,24.610956
14:56:16,"dch","06",23.05,24.67,24.61103
14:56:18,"dch","06",23.01,24.61,24.611115
14:56:20,"dch","06",22.99,24.67,24.611214
14:56:22,"dch","06",23.05,24.59,24.611321
14:56:24,"dch","06",23.07,24.67,24.611422
14:56:26,"dch","06",23.09,24.69,24.611528
14:56:28,"dch","06",23.11,24.61,24.611629
14:56:30,"dch","06",23.11,24.65,24.611736
14:56:32,"dch","06",23.13,24.63,24.611843
14:56:34,"dch","06",23.15,24.65,24.611952
14:56:36,"dch","06",23.19,24.71,24.61206
14:56:38,"dch","06",23.21,24.63,24.612184
14:56:40,"dch","06",23.19,24.67,24.612299
14:56:42,"dch","06",23.21,24.65,24.612406
14:56:44,"dch","06",23.21,24.67,24.612517
14:56:46,"dch","06",23.25,24.63,24.612627
14:56:48,"dch","06",23.23,24.65,24.61273
14:56:50,"dch","06",23.25,24.67,24.612835
14:56:52,"dch","06",23.25,24.67,24.612927
14:56:54,"dch","06",23.29,24.67,24.613026
14:56:56,"dch","06",23.27,24.65,24.613111
