"t","type","id","Ta","To","T"
14:18:28,"bcf","06",23.55,25.47,24.612945
14:18:30,"bcf","06",23.61,25.07,24.61294
14:18:32,"bcf","06",23.65,25.03,24.612938
14:18:34,"bcf","06",23.69,24.85,24.612934
14:18:36,"bcf","06",23.67,24.75,24.612931
14:18:38,"bcf","06",23.69,24.73,24.612927
14:18:40,"bcf","06",23.69,24.69,24.612924
14:18:42,"bcf","06",23.69,24.55,24.612918
14:18:44,"bcf","06",23.69,24.65,24.612918
14:18:46,"bcf","06",23.69,24.49,24.612911
14:18:48,"bcf","06",23.71,24.51,24.612909
14:18:50,"bcf","06",23.71,24.65,24.612913
14:18:52,"bcf","06",23.69,24.61,24.612909
14:18:54,"bcf","06",23.69,24.67,24.612913
14:18:56,"bcf","06",23.69,24.55,24.61291
14:18:58,"bcf","06",23.69,24.49,24.612915
14:19:00,"bcf","06",23.71,24.57,24.612924
14:19:02,"bcf","06",23.71,24.61,24.612932
14:19:04,"bcf","06",23.71,24.71,24.612938
14:19:06,"bcf","06",23.71,24.61,24.612956
14:19:08,"bcf","06",23.71,24.65,24.612969
14:19:10,"bcf","06",23.69,24.53,24.612983
14:19:12,"bcf","06",23.73,24.67,24.612994
14:19:14,"bcf","06",23.69,24.61,24.612997
14:19:16,"bcf","06",23.71,24.71,24.613011
14:19:18,"bcf","06",23.71,24.49,24.613031
14:19:20,"bcf","06",23.69,24.61,24.613055
14:19:22,"bcf","06",23.71,24.77,24.613069
14:19:24,"bcf","06",23.71,24.53,24.61309
14:19:26,"bcf","06",23.71,24.71,24.613114
14:19:28,"bcf","06",23.71,24.57,24.613145
14:19:30,"bcf","06",23.71,24.57,24.613176
14:19:32,"bcf","06",23.71,24.69,24.613208
14:19:34,"bcf","06",23.71,24.53,24.613241
