"t","type","id","Ta","To","T"
14:50:36,"dch","03",22.61,24.75,24.613772
14:50:38,"dch","03",22.63,24.67,24.613762
14:50:40,"dch","03",22.63,24.69,24.613749
14:50:42,"dch","03",22.67,24.69,24.613736
14:50:44,"dch","03",22.71,24.63,24.613705
14:50:46,"dch","03",22.73,24.75,24.613681
14:50:48,"dch","03",22.73,24.71,24.613646
14:50:50,"dch","03",22.77,24.75,24.613606
14:50:52,"dch","03",22.81,24.71,24.613561
14:50:54,"dch","03",22.83,24.73,24.613517
14:50:56,"dch","03",22.81,24.69,24.613469
14:50:58,"dch","03",22.87,24.75,24.613412
14:51:00,"dch","03",22.85,24.63,24.613356
14:51:02,"dch","03",22.89,24.71,24.613296
14:51:04,"dch","03",22.89,24.67,24.613234
14:51:06,"dch","03",22.87,24.69,24.61317
14:51:08,"dch","03",22.91,24.71,24.613105
14:51:10,"dch","03",22.93,24.67,24.613046
14:51:12,"dch","03",22.93,24.67,24.612979
14:51:14,"dch","03",22.95,24.67,24.612908
14:51:16,"dch","03",22.95,24.69,24.612843
14:51:18,"dch","03",22.97,24.73,24.612779
14:51:20,"dch","03",22.97,24.69,24.612711
14:51:22,"dch","03",23.01,24.71,24.612645
14:51:24,"dch","03",23.01,24.79,24.612584
14:51:26,"dch","03",23.03,24.67,24.612521
14:51:28,"dch","03",23.01,24.63,24.61246
14:51:30,"dch","03",23.01,24.69,24.6124
14:51:32,"dch","03",23.05,24.71,24.612351
14:51:34,"dch","03",23.03,24.73,24.612296
14:51:36,"dch","03",23.05,24.73,24.612238
14:51:38,"dch","03",23.07,24.69,24.612183
14:51:40,"dch","03",23.05,24.65,24.612128
14:51:42,"dch","03",23.07,24.73,24.612071
14:51:44,"dch","03",23.07,24.71,24.612025
14:51:46,"dch","03",23.07,24.79,24.611967
14:51:48,"dch","03",23.09,24.75,24.611921
14:51:50,"dch","03",23.09,24.73,24.611876
14:51:52,"dch","03",23.07,24.69,24.611825
14:51:54,"dch","03",23.11,24.77,24.611781
14:51:56,"dch","03",23.13,24.79,24.611737
