"t","type","id","Ta","To","T"
14:29:50,"dci","02",22.49,24.95,24.6122
14:29:52,"dci","02",22.55,24.93,24.612181
14:29:54,"dci","02",22.55,24.93,24.612168
14:29:56,"dci","02",22.55,25.03,24.612162
14:29:58,"dci","02",22.57,24.99,24.61216
14:30:00,"dci","02",22.57,24.97,24.612173
14:30:02,"dci","02",22.55,24.89,24.612195
14:30:04,"dci","02",22.55,24.97,24.612226
14:30:06,"dci","02",22.53,24.89,24.612259
14:30:08,"dci","02",22.55,24.93,24.612302
14:30:10,"dci","02",22.55,24.97,24.612354
14:30:12,"dci","02",22.53,24.97,24.612408
14:30:14,"dci","02",22.57,24.93,24.612469
14:30:16,"dci","02",22.57,24.89,24.612539
14:30:18,"dci","02",22.55,24.95,24.612612
14:30:20,"dci","02",22.57,24.91,24.612698
14:30:22,"dci","02",22.53,24.91,24.612783
14:30:24,"dci","02",22.57,24.91,24.612875
14:30:26,"dci","02",22.59,24.95,24.612967
14:30:28,"dci","02",22.57,24.95,24.613067
14:30:30,"dci","02",22.55,24.93,24.613158
14:30:32,"dci","02",22.59,24.87,24.613256
14:30:34,"dci","02",22.57,24.91,24.613367
14:30:36,"dci","02",22.57,24.97,24.613475
14:30:38,"dci","02",22.59,24.91,24.613571
14:30:40,"dci","02",22.57,24.95,24.613666
14:30:42,"dci","02",22.61,25.05,24.613757
14:30:44,"dci","02",22.57,24.93,24.61385
14:30:46,"dci","02",22.57,24.91,24.613939
14:30:48,"dci","02",22.57,24.85,24.614022
14:30:50,"dci","02",22.59,24.93,24.614105
