"t","type","id","Ta","To","T"
14:43:46,"dci","09",22.57,24.89,24.612829
14:43:48,"dci","09",22.53,24.81,24.612844
14:43:50,"dci","09",22.57,24.77,24.612864
14:43:52,"dci","09",22.57,24.67,24.612894
14:43:54,"dci","09",22.55,24.87,24.612907
14:43:56,"dci","09",22.55,24.77,24.612925
14:43:58,"dci","09",22.55,24.81,24.612937
14:44:00,"dci","09",22.55,24.75,24.612938
14:44:02,"dci","09",22.57,24.81,24.612948
14:44:04,"dci","09",22.59,24.77,24.612953
14:44:06,"dci","09",22.57,24.79,24.612961
14:44:08,"dci","09",22.57,24.77,24.612967
14:44:10,"dci","09",22.57,24.71,24.612973
14:44:12,"dci","09",22.59,24.85,24.612984
14:44:14,"dci","09",22.59,24.75,24.612989
14:44:16,"dci","09",22.59,24.79,24.613004
14:44:18,"dci","09",22.59,24.77,24.61302
14:44:20,"dci","09",22.57,24.77,24.613031
14:44:22,"dci","09",22.57,24.77,24.613047
14:44:24,"dci","09",22.59,24.83,24.613064
14:44:26,"dci","09",22.57,24.75,24.613072
14:44:28,"dci","09",22.57,24.77,24.613087
14:44:30,"dci","09",22.59,24.77,24.613105
14:44:32,"dci","09",22.59,24.77,24.613123
14:44:34,"dci","09",22.59,24.75,24.613142
14:44:36,"dci","09",22.59,24.75,24.613162
14:44:38,"dci","09",22.59,24.85,24.613183
14:44:40,"dci","09",22.59,24.75,24.6132
14:44:42,"dci","09",22.59,24.83,24.613223
14:44:44,"dci","09",22.59,24.79,24.613236
14:44:46,"dci","09",22.63,24.77,24.613256
14:44:48,"dci","09",22.59,24.75,24.613267
14:44:50,"dci","09",22.63,24.77,24.613281
14:44:52,"dci","09",22.61,24.81,24.613279
14:44:54,"dci","09",22.59,24.81,24.613278
14:44:56,"dci","09",22.61,24.77,24.61328
14:44:58,"dci","09",22.63,24.83,24.61328
14:45:00,"dci","09",22.61,24.87,24.613282
14:45:02,"dci","09",22.63,24.77,24.613282
14:45:04,"dci","09",22.61,24.77,24.61328
