"t","type","id","Ta","To","T"
14:22:50,"bcf","08",23.55,24.59,24.613272
14:22:52,"bcf","08",23.57,24.53,24.613314
14:22:54,"bcf","08",23.57,24.77,24.613353
14:22:56,"bcf","08",23.59,24.67,24.613382
14:22:58,"bcf","08",23.59,24.61,24.613412
14:23:00,"bcf","08",23.57,24.61,24.613438
14:23:02,"bcf","08",23.59,24.63,24.613464
14:23:04,"bcf","08",23.59,24.69,24.613486
14:23:06,"bcf","08",23.59,24.65,24.613501
14:23:08,"bcf","08",23.59,24.55,24.613522
14:23:10,"bcf","08",23.59,24.43,24.613536
14:23:12,"bcf","08",23.59,24.71,24.613546
14:23:14,"bcf","08",23.59,24.41,24.613555
14:23:16,"bcf","08",23.55,24.55,24.613571
14:23:18,"bcf","08",23.61,24.51,24.613578
14:23:20,"bcf","08",23.59,24.61,24.613577
14:23:22,"bcf","08",23.61,24.55,24.613575
14:23:24,"bcf","08",23.61,24.63,24.613576
14:23:26,"bcf","08",23.61,24.71,24.613573
14:23:28,"bcf","08",23.59,24.61,24.61356
14:23:30,"bcf","08",23.61,24.57,24.61357
14:23:32,"bcf","08",23.59,24.67,24.613568
14:23:34,"bcf","08",23.59,24.77,24.613576
14:23:36,"bcf","08",23.61,24.57,24.613579
14:23:38,"bcf","08",23.59,24.51,24.61358
14:23:40,"bcf","08",23.59,24.65,24.613578
14:23:42,"bcf","08",23.61,24.59,24.613586
14:23:44,"bcf","08",23.59,24.55,24.613589
14:23:50,"bcf","08",23.59,24.57,24.613593
14:23:52,"bcf","08",23.59,24.59,24.613586
