"t","type","id","Ta","To","T"
14:54:10,"dch","05",22.67,24.51,24.614849
14:54:12,"dch","05",22.67,24.55,24.614859
14:54:14,"dch","05",22.75,24.59,24.614867
14:54:16,"dch","05",22.77,24.59,24.614866
14:54:18,"dch","05",22.81,24.57,24.614856
14:54:20,"dch","05",22.81,24.57,24.614841
14:54:22,"dch","05",22.83,24.61,24.614821
14:54:24,"dch","05",22.83,24.65,24.614782
14:54:26,"dch","05",22.87,24.61,24.614739
14:54:28,"dch","05",22.89,24.53,24.614693
14:54:30,"dch","05",22.93,24.63,24.614641
14:54:32,"dch","05",22.93,24.65,24.61458
14:54:34,"dch","05",22.93,24.57,24.614513
14:54:36,"dch","05",22.97,24.59,24.61444
14:54:38,"dch","05",23.01,24.65,24.614373
14:54:40,"dch","05",23.01,24.65,24.614301
14:54:42,"dch","05",23.01,24.59,24.614207
14:54:44,"dch","05",23.01,24.59,24.61411
14:54:46,"dch","05",23.07,24.59,24.614011
14:54:48,"dch","05",23.05,24.65,24.613896
14:54:50,"dch","05",23.03,24.57,24.613789
14:54:52,"dch","05",23.07,24.61,24.613668
14:54:54,"dch","05",23.09,24.67,24.613547
14:54:56,"dch","05",23.09,24.59,24.613424
14:54:58,"dch","05",23.13,24.65,24.613296
14:55:00,"dch","05",23.17,24.63,24.613179
14:55:04,"dch","05",23.13,24.67,24.612923
14:55:06,"dch","05",23.17,24.63,24.612791
14:55:08,"dch","05",23.17,24.61,24.612652
14:55:10,"dch","05",23.21,24.57,24.612506
14:55:12,"dch","05",23.21,24.63,24.612371
14:55:14,"dch","05",23.21,24.65,24.612234
