"t","type","id","Ta","To","T"
15:01:06,"dch","09",22.59,24.57,24.613149
15:01:08,"dch","09",22.67,24.59,24.613175
15:01:10,"dch","09",22.67,24.57,24.613186
15:01:12,"dch","09",22.71,24.57,24.613184
15:01:14,"dch","09",22.75,24.61,24.613177
15:01:16,"dch","09",22.79,24.61,24.613159
15:01:18,"dch","09",22.83,24.59,24.61315
15:01:20,"dch","09",22.87,24.61,24.61313
15:01:22,"dch","09",22.89,24.59,24.61311
15:01:24,"dch","09",22.93,24.61,24.613076
15:01:26,"dch","09",22.97,24.61,24.613039
15:01:28,"dch","09",22.97,24.61,24.613009
15:01:30,"dch","09",23.01,24.59,24.612966
15:01:32,"dch","09",22.99,24.65,24.61292
15:01:34,"dch","09",23.05,24.65,24.61288
15:01:36,"dch","09",23.07,24.61,24.612833
15:01:38,"dch","09",23.09,24.65,24.612791
15:01:40,"dch","09",23.11,24.63,24.612737
15:01:42,"dch","09",23.15,24.67,24.612691
15:01:44,"dch","09",23.15,24.61,24.612644
15:01:46,"dch","09",23.19,24.61,24.612597
15:01:48,"dch","09",23.21,24.67,24.612556
15:01:50,"dch","09",23.19,24.63,24.612518
15:01:52,"dch","09",23.21,24.61,24.612477
15:01:54,"dch","09",23.21,24.67,24.61244
15:01:56,"dch","09",23.25,24.57,24.612419
15:01:58,"dch","09",23.23,24.65,24.612392
15:02:00,"dch","09",23.27,24.67,24.612378
15:02:02,"dch","09",23.27,24.57,24.612381
15:02:04,"dch","09",23.29,24.65,24.612384
15:02:06,"dch","09",23.31,24.67,24.612395
15:02:08,"dch","09",23.31,24.65,24.612416
15:02:10,"dch","09",23.33,24.61,24.612439
15:02:12,"dch","09",23.33,24.59,24.61247
