"t","type","id","Ta","To","T"
14:20:46,"bcf","07",23.65,24.53,24.613528
14:20:48,"bcf","07",23.65,24.71,24.613512
14:20:50,"bcf","07",23.69,24.75,24.613492
14:20:52,"bcf","07",23.67,24.67,24.61347
14:20:54,"bcf","07",23.65,24.57,24.613449
14:20:56,"bcf","07",23.65,24.55,24.613427
14:20:58,"bcf","07",23.67,24.77,24.613411
14:21:00,"bcf","07",23.65,24.53,24.613383
14:21:02,"bcf","07",23.67,24.71,24.613359
14:21:04,"bcf","07",23.67,24.65,24.613329
14:21:06,"bcf","07",23.67,24.57,24.613306
14:21:08,"bcf","07",23.69,24.63,24.613277
14:21:10,"bcf","07",23.69,24.47,24.613251
14:21:12,"bcf","07",23.65,24.59,24.613218
14:21:14,"bcf","07",23.67,24.69,24.613189
14:21:16,"bcf","07",23.65,24.69,24.613155
14:21:18,"bcf","07",23.67,24.57,24.613135
14:21:20,"bcf","07",23.67,24.57,24.613106
14:21:22,"bcf","07",23.67,24.65,24.613074
14:21:24,"bcf","07",23.67,24.63,24.613049
14:21:26,"bcf","07",23.69,24.73,24.613019
14:21:28,"bcf","07",23.69,24.43,24.612992
14:21:30,"bcf","07",23.65,24.59,24.612961
14:21:32,"bcf","07",23.65,24.69,24.612936
14:21:34,"bcf","07",23.67,24.75,24.612909
14:21:36,"bcf","07",23.69,24.65,24.612885
14:21:38,"bcf","07",23.67,24.63,24.612856
14:21:40,"bcf","07",23.69,24.53,24.612837
14:21:42,"bcf","07",23.69,24.57,24.612819
14:21:44,"bcf","07",23.69,24.67,24.612794
14:21:46,"bcf","07",23.69,24.63,24.612762
14:21:48,"bcf","07",23.69,24.59,24.612738
14:21:50,"bcf","07",23.69,24.61,24.612713
