"t","Ta","To","To2","T"
16:24:25,24.89,41.23,80.23,39.588467
16:24:26,24.99,41.19,73.97,39.588454
16:24:27,25.01,41.15,68.39,39.588439
16:24:28,25.01,41.07,63.97,39.58843
16:24:29,25.07,41.13,60.67,39.588422
16:24:30,25.09,41.13,57.47,39.588399
16:24:31,25.13,41.11,55.01,39.588383
16:24:32,25.17,41.15,52.07,39.588351
16:24:33,25.13,41.09,50.63,39.588324
16:24:34,25.19,40.99,48.83,39.588298
16:24:35,25.21,41.05,46.71,39.588268
16:24:36,25.21,40.99,45.73,39.588233
16:24:37,25.23,40.99,43.91,39.588201
16:24:38,25.23,40.93,43.23,39.588186
16:24:39,25.23,40.93,42.59,39.588159
16:24:40,25.19,40.93,41.83,39.588143
16:24:41,25.23,41.09,41.43,39.588122
16:24:42,25.19,41.05,41.13,39.588081
16:24:43,25.23,41.03,41.07,39.588045
16:24:44,25.25,41.13,40.83,39.588021
16:24:45,25.21,41.05,41.09,39.587996
16:24:46,25.27,41.09,41.27,39.587971
16:24:47,25.27,41.13,41.11,39.587943
16:24:48,25.25,40.99,41.33,39.587914
16:24:49,25.17,41.03,40.83,39.587877
16:24:50,25.23,41.11,40.39,39.587845
16:24:51,25.23,41.07,40.47,39.587827
16:24:52,25.21,41.01,40.03,39.587799
16:24:53,25.21,41.03,40.27,39.587766
16:24:54,25.23,41.01,40.53,39.587737
16:24:55,25.23,41.11,40.33,39.587709
16:24:56,25.25,41.07,40.05,39.587685
16:24:57,25.21,41.09,40.07,39.587659
16:24:58,25.25,41.09,40.01,39.587629
16:24:59,25.21,41.01,40.43,39.587601
16:25:00,25.27,41.07,40.35,39.587583
16:25:01,25.23,41.11,39.65,39.587569
16:25:02,25.23,41.03,39.61,39.58756
16:25:03,25.25,41.11,40.05,39.587546
16:25:04,25.23,41.05,40.71,39.587532
16:25:05,25.21,41.09,40.33,39.587524
16:25:06,25.25,41.05,41.25,39.587511
16:25:07,25.21,41.03,40.87,39.587506
16:25:08,25.23,41.05,41.49,39.58749
16:25:09,25.21,41.07,41.13,39.587477
16:25:10,25.23,41.07,41.71,39.587478
16:25:11,25.21,41.11,42.09,39.587478
16:25:12,25.23,41.07,42.29,39.587485
16:25:13,25.21,40.99,42.71,39.587495
16:25:14,25.25,40.97,43.01,39.587481
16:25:15,25.25,41.05,42.21,39.587488
16:25:16,25.25,41.11,41.87,39.58749
16:25:17,25.21,41.09,41.85,39.587489
16:25:18,25.25,41.13,42.27,39.587497
16:25:19,25.23,41.05,42.55,39.58751
16:25:20,25.27,41.11,42.17,39.587523
16:25:21,25.27,40.99,42.13,39.587524
16:25:22,25.27,41.15,41.31,39.587529
16:25:23,25.25,41.07,41.95,39.587541
16:25:24,25.23,41.03,41.93,39.58756
16:25:25,25.27,41.01,41.57,39.587574
16:25:26,25.27,41.15,40.83,39.587592
16:25:27,25.25,40.99,40.59,39.587611
