"t","Ta","To","To2","T"
14:28:32,22.93,6.71,-9.39,4.660468
14:28:33,22.91,6.75,-5.71,4.660401
14:28:34,22.95,6.71,-1.99,4.660334
14:28:35,22.93,6.79,-0.69,4.660264
14:28:36,22.87,6.65,1.09,4.66018
14:28:37,22.91,6.69,2.37,4.660111
14:28:38,22.87,6.65,2.69,4.660028
14:28:39,22.89,6.71,3.97,4.659964
14:28:40,22.87,6.65,4.01,4.659883
14:28:41,22.87,6.69,4.31,4.659809
14:28:42,22.87,6.61,4.71,4.659728
14:28:43,22.91,6.81,5.03,4.659645
14:28:44,22.87,6.67,4.77,4.659574
14:28:45,22.91,6.79,5.27,4.659491
14:28:46,22.91,6.79,5.51,4.65942
14:28:47,22.87,6.71,5.13,4.659338
14:28:48,22.91,6.81,5.49,4.65925
14:28:49,22.89,6.73,5.65,4.659156
14:28:50,22.87,6.81,5.59,4.65907
14:28:51,22.87,6.61,5.45,4.658978
14:28:52,22.91,6.63,6.15,4.658881
14:28:53,22.89,6.63,5.61,4.658802
14:28:54,22.83,6.53,6.39,4.658716
14:28:55,22.87,6.59,5.73,4.658632
14:28:56,22.83,6.59,6.49,4.658534
14:28:57,22.89,6.77,5.37,4.658442
14:28:58,22.87,6.71,6.13,4.658357
14:28:59,22.83,6.73,6.09,4.658279
14:29:00,22.87,6.63,6.01,4.65819
14:29:01,22.83,6.59,5.89,4.658109
14:29:02,22.87,6.69,6.15,4.658024
14:29:03,22.87,6.63,6.15,4.657946
14:29:04,22.85,6.67,5.77,4.657869
14:29:05,22.91,6.65,6.51,4.657792
14:29:06,22.89,6.63,6.23,4.657729
14:29:07,22.87,6.71,6.51,4.657675
14:29:08,22.85,6.65,5.57,4.657618
14:29:09,22.91,6.65,6.97,4.657552
14:29:10,22.83,6.65,6.53,4.657506
14:29:11,22.85,6.77,6.07,4.657456
14:29:12,22.69,6.55,6.01,4.65741
14:29:13,22.83,6.67,6.29,4.657376
14:29:14,22.85,6.73,6.11,4.657343
14:29:15,22.87,6.67,6.21,4.657319
14:29:16,22.87,6.69,6.55,4.657296
14:29:17,22.87,6.79,6.87,4.657274
14:29:18,22.85,6.73,5.99,4.657262
14:29:19,22.87,6.65,6.25,4.657258
14:29:21,22.91,6.67,6.39,4.657261
14:29:22,22.89,6.75,6.09,4.657274
14:29:23,22.85,6.71,6.99,4.657284
14:29:25,22.89,6.67,5.93,4.657317
14:29:26,22.89,6.73,6.61,4.657347
14:29:27,22.83,6.55,6.29,4.65737
14:29:28,22.87,6.85,5.63,4.6574
14:29:29,22.85,6.71,6.09,4.657436
14:29:30,22.83,6.69,6.51,4.657464
14:29:31,22.89,6.57,6.63,4.657497
14:29:32,22.89,6.77,6.11,4.657524
14:29:33,22.81,6.69,6.75,4.657557
14:29:34,22.67,6.49,6.23,4.657582
14:29:35,22.91,6.75,6.41,4.657604
