"t","type","k","id","Ta","To","To2","T"
16:27:23,"dch","40","01",24.03,40.57,38.91,39.588251
16:27:24,"dch","40","01",24.09,40.53,39.59,39.58824
16:27:25,"dch","40","01",24.07,40.55,38.57,39.588242
16:27:26,"dch","40","01",24.09,40.57,38.77,39.588236
16:27:27,"dch","40","01",24.05,40.49,38.91,39.588236
16:27:28,"dch","40","01",24.07,40.59,39.09,39.588222
16:27:29,"dch","40","01",24.11,40.61,39.77,39.588227
16:27:30,"dch","40","01",24.11,40.53,40.45,39.588214
16:27:31,"dch","40","01",24.11,40.59,40.03,39.588219
16:27:32,"dch","40","01",24.13,40.51,38.71,39.588227
16:27:33,"dch","40","01",24.17,40.57,38.47,39.588241
16:27:34,"dch","40","01",24.15,40.53,39.69,39.588244
16:27:35,"dch","40","01",24.15,40.51,39.15,39.588247
16:27:36,"dch","40","01",24.17,40.51,38.49,39.588267
16:27:37,"dch","40","01",24.15,40.51,38.33,39.588276
16:27:38,"dch","40","01",24.13,40.43,38.17,39.588294
16:27:39,"dch","40","01",24.15,40.51,38.29,39.588305
16:27:40,"dch","40","01",24.15,40.51,39.59,39.588322
16:27:41,"dch","40","01",24.13,40.51,40.41,39.588344
16:27:42,"dch","40","01",24.21,40.59,40.01,39.588352
16:27:43,"dch","40","01",24.17,40.53,39.03,39.588372
16:27:44,"dch","40","01",24.15,40.51,38.65,39.588391
16:27:45,"dch","40","01",24.15,40.51,39.55,39.588402
16:27:46,"dch","40","01",24.13,40.51,39.21,39.588405
16:27:47,"dch","40","01",24.23,40.61,39.55,39.588418
16:27:48,"dch","40","01",24.21,40.55,39.29,39.588418
16:27:49,"dch","40","01",24.21,40.65,39.89,39.588435
16:27:50,"dch","40","01",24.21,40.61,41.35,39.588444
16:27:51,"dch","40","01",24.19,40.51,41.17,39.588457
16:27:52,"dch","40","01",24.21,40.57,40.81,39.588473
16:27:53,"dch","40","01",24.21,40.53,41.13,39.588473
16:27:54,"dch","40","01",24.23,40.41,40.75,39.588491
16:27:55,"dch","40","01",24.25,40.57,40.03,39.588506
16:27:56,"dch","40","01",24.23,40.49,39.65,39.588509
16:27:57,"dch","40","01",24.25,40.51,39.77,39.588526
16:27:58,"dch","40","01",24.23,40.55,40.03,39.58855
16:27:59,"dch","40","01",24.23,40.57,39.83,39.58855
16:28:00,"dch","40","01",24.25,40.57,40.33,39.588557
16:28:01,"dch","40","01",24.29,40.55,40.89,39.588557
16:28:02,"dch","40","01",24.27,40.55,40.01,39.588564
16:28:03,"dch","40","01",24.29,40.55,39.81,39.588559
16:28:04,"dch","40","01",24.27,40.57,40.25,39.58858
16:28:05,"dch","40","01",24.33,40.59,41.17,39.588585
16:28:06,"dch","40","01",24.33,40.59,41.37,39.588591
16:28:07,"dch","40","01",24.29,40.51,42.09,39.5886
16:28:08,"dch","40","01",24.25,40.57,41.15,39.588591
16:28:09,"dch","40","01",24.31,40.51,40.97,39.588593
16:28:10,"dch","40","01",24.33,40.55,41.33,39.588599
16:28:11,"dch","40","01",24.31,40.51,42.05,39.588598
16:28:12,"dch","40","01",24.33,40.55,42.13,39.58861
16:28:13,"dch","40","01",24.29,40.53,41.85,39.588598
16:28:14,"dch","40","01",24.39,40.55,41.41,39.588602
16:28:15,"dch","40","01",24.33,40.55,40.77,39.588607
16:28:16,"dch","40","01",24.33,40.51,39.87,39.58862
16:28:17,"dch","40","01",24.35,40.57,39.87,39.588616
16:28:18,"dch","40","01",24.33,40.53,39.93,39.588619
16:28:19,"dch","40","01",24.35,40.49,39.95,39.588605
16:28:20,"dch","40","01",24.37,40.51,39.91,39.588599
16:28:21,"dch","40","01",24.37,40.53,39.89,39.588593
16:28:22,"dch","40","01",24.33,40.47,40.81,39.588583
16:28:23,"dch","40","01",24.35,40.45,40.37,39.588583
16:28:24,"dch","40","01",24.39,40.51,40.11,39.588569
16:28:25,"dch","40","01",24.39,40.45,40.41,39.588556
16:28:26,"dch","40","01",24.37,40.51,41.17,39.588549
