"t","Ta","To","To2","T"
13:53:10,24.25,6.85,18.43,4.652996
13:53:11,24.25,6.77,20.15,4.653153
13:53:12,24.27,6.99,18.93,4.653319
13:53:13,24.23,6.95,18.97,4.65349
13:53:14,24.25,6.81,19.47,4.65367
13:53:15,24.25,6.89,19.89,4.653862
13:53:16,24.21,6.83,19.09,4.654063
13:53:17,24.25,6.77,21.25,4.654263
13:53:18,24.23,6.75,17.31,4.654463
13:53:19,24.25,6.77,18.65,4.654661
13:53:20,24.25,6.67,20.45,4.654867
13:53:21,24.23,6.75,20.11,4.655074
13:53:22,24.25,6.95,19.49,4.655278
13:53:23,24.29,6.91,19.73,4.655488
13:53:24,24.23,6.77,19.51,4.655667
13:53:25,24.23,6.93,17.91,4.655856
13:53:26,24.23,6.71,19.79,4.656046
13:53:27,24.23,6.77,18.13,4.656247
13:53:28,24.23,7.05,18.91,4.656428
13:53:29,24.25,6.73,19.59,4.656615
13:53:30,24.21,6.73,19.63,4.656781
13:53:31,24.25,6.75,18.71,4.656952
13:53:32,24.23,6.59,21.19,4.657102
13:53:33,24.23,6.97,18.79,4.657254
13:53:34,24.25,6.83,19.91,4.657413
13:53:35,24.23,6.73,18.93,4.657553
13:53:36,24.23,6.63,19.69,4.657677
13:53:37,24.25,6.97,18.21,4.657801
13:53:38,24.25,6.99,18.83,4.657912
13:53:39,24.23,6.91,19.81,4.658034
13:53:40,24.21,6.89,19.65,4.65814
13:53:41,24.25,7.03,16.79,4.658255
13:53:42,24.21,6.87,18.15,4.65836
13:53:43,24.23,6.57,19.57,4.658443
13:53:44,24.21,6.79,18.89,4.658513
13:53:45,24.21,6.77,19.49,4.658567
13:53:46,24.21,6.91,18.67,4.658615
13:53:47,24.25,6.81,18.61,4.658662
13:53:48,24.21,6.65,19.15,4.65869
13:53:49,24.25,6.71,19.95,4.658719
13:53:50,24.21,6.79,19.97,4.658732
13:53:51,24.25,6.93,19.01,4.658744
13:53:52,24.21,7.03,18.41,4.658747
13:53:53,24.21,6.79,18.75,4.658738
13:53:54,24.21,6.87,17.37,4.658748
13:53:55,24.21,6.89,20.35,4.658753
13:53:56,24.21,6.63,18.33,4.658747
13:53:57,24.21,6.89,19.25,4.658725
13:53:58,24.23,6.91,19.23,4.658693
13:53:59,24.21,6.71,18.93,4.65865
13:54:00,24.21,6.61,20.03,4.658615
13:54:01,24.19,6.65,19.57,4.658576
13:54:02,24.19,6.75,18.45,4.658531
13:54:03,24.19,6.87,19.15,4.658484
13:54:04,24.19,6.45,19.41,4.658425
13:54:05,24.21,6.73,18.49,4.658374
13:54:06,24.21,6.69,18.15,4.658322
13:54:07,24.19,6.89,20.51,4.658264
13:54:08,24.19,6.99,17.91,4.65821
13:54:09,24.17,6.69,19.73,4.658149
13:54:10,24.21,6.71,18.57,4.658092
13:54:11,24.19,6.79,19.13,4.658007
13:54:12,24.19,6.83,19.03,4.657932
13:54:13,24.19,6.81,17.87,4.657863
