"t","type","k","id","Ta","To","To2","T"
16:34:20,"dch","40","05",25.21,40.65,43.15,39.588485
16:34:21,"dch","40","05",25.21,40.67,41.41,39.588478
16:34:22,"dch","40","05",25.23,40.73,40.55,39.588466
16:34:23,"dch","40","05",25.23,40.67,40.17,39.588467
16:34:24,"dch","40","05",25.23,40.65,40.03,39.588461
16:34:25,"dch","40","05",25.21,40.71,39.97,39.588468
16:34:26,"dch","40","05",25.19,40.59,41.67,39.58847
16:34:27,"dch","40","05",25.27,40.63,42.57,39.588471
16:34:28,"dch","40","05",25.23,40.67,41.67,39.588477
16:34:29,"dch","40","05",25.23,40.67,42.53,39.588478
16:34:30,"dch","40","05",25.19,40.67,41.61,39.588475
16:34:31,"dch","40","05",25.23,40.65,42.27,39.588481
16:34:32,"dch","40","05",25.21,40.67,42.01,39.588484
16:34:33,"dch","40","05",25.23,40.57,42.77,39.588484
16:34:34,"dch","40","05",25.25,40.73,41.67,39.588491
16:34:35,"dch","40","05",25.27,40.65,41.55,39.588499
16:34:36,"dch","40","05",25.23,40.69,41.71,39.588512
16:34:37,"dch","40","05",25.23,40.61,41.95,39.588508
16:34:38,"dch","40","05",25.25,40.71,40.45,39.588511
16:34:39,"dch","40","05",25.23,40.67,40.47,39.588512
16:34:40,"dch","40","05",25.27,40.73,42.13,39.588519
16:34:41,"dch","40","05",25.21,40.67,43.25,39.588529
16:34:42,"dch","40","05",25.23,40.57,42.93,39.588527
16:34:43,"dch","40","05",25.25,40.61,42.09,39.588535
16:34:44,"dch","40","05",25.25,40.65,41.03,39.588541
16:34:45,"dch","40","05",25.27,40.67,39.55,39.588556
16:34:46,"dch","40","05",25.25,40.67,39.95,39.588552
16:34:47,"dch","40","05",25.25,40.69,41.49,39.588561
16:34:48,"dch","40","05",25.23,40.67,40.47,39.588572
16:34:49,"dch","40","05",25.23,40.71,41.29,39.588573
16:34:50,"dch","40","05",25.25,40.71,41.19,39.58857
16:34:51,"dch","40","05",25.25,40.67,41.71,39.588583
16:34:52,"dch","40","05",25.25,40.63,42.77,39.588578
16:34:53,"dch","40","05",25.27,40.65,43.25,39.588583
16:34:54,"dch","40","05",25.27,40.61,44.05,39.588572
16:34:55,"dch","40","05",25.25,40.61,44.27,39.588563
16:34:56,"dch","40","05",25.27,40.63,43.73,39.588562
16:34:57,"dch","40","05",25.31,40.69,41.45,39.588573
16:34:58,"dch","40","05",25.27,40.67,40.39,39.588573
16:34:59,"dch","40","05",25.27,40.61,40.01,39.588576
16:35:00,"dch","40","05",25.31,40.73,40.97,39.588576
16:35:01,"dch","40","05",25.27,40.65,41.37,39.588572
16:35:02,"dch","40","05",25.27,40.69,40.29,39.588566
16:35:03,"dch","40","05",25.31,40.65,40.71,39.588568
16:35:04,"dch","40","05",25.23,40.63,41.15,39.58856
16:35:05,"dch","40","05",25.31,40.67,40.35,39.588557
16:35:06,"dch","40","05",25.31,40.69,39.63,39.588551
16:35:07,"dch","40","05",25.29,40.69,39.31,39.588543
16:35:08,"dch","40","05",25.27,40.71,39.55,39.588537
16:35:09,"dch","40","05",25.31,40.77,40.51,39.588533
16:35:10,"dch","40","05",25.27,40.65,41.97,39.588524
16:35:11,"dch","40","05",25.31,40.63,42.31,39.588518
16:35:12,"dch","40","05",25.29,40.61,42.57,39.588515
16:35:13,"dch","40","05",25.29,40.69,41.21,39.588516
16:35:14,"dch","40","05",25.37,40.71,40.25,39.58851
16:35:15,"dch","40","05",25.27,40.69,39.69,39.588497
16:35:16,"dch","40","05",25.25,40.69,39.31,39.5885
16:35:17,"dch","40","05",25.23,40.63,39.87,39.588487
16:35:18,"dch","40","05",25.27,40.67,39.01,39.58848
16:35:19,"dch","40","05",25.23,40.55,39.83,39.588467
16:35:20,"dch","40","05",25.31,40.67,40.63,39.58846
16:35:21,"dch","40","05",25.25,40.69,41.05,39.588441
16:35:22,"dch","40","05",25.29,40.69,42.89,39.588435
16:35:23,"dch","40","05",25.27,40.65,43.37,39.588417
