"t","type","k","id","Ta","To","To2","T"
14:50:06,"dch","5","08",23.19,8.39,7.41,4.656973
14:50:07,"dch","5","08",23.19,8.37,7.51,4.656939
14:50:08,"dch","5","08",23.19,8.31,7.59,4.656892
14:50:09,"dch","5","08",23.17,8.29,7.93,4.656842
14:50:10,"dch","5","08",23.19,8.43,7.37,4.656793
14:50:11,"dch","5","08",23.23,8.37,7.93,4.656747
14:50:12,"dch","5","08",23.19,8.39,7.67,4.656698
14:50:13,"dch","5","08",23.17,8.31,7.73,4.656639
14:50:14,"dch","5","08",23.21,8.31,7.81,4.656581
14:50:15,"dch","5","08",23.17,8.31,7.33,4.656507
14:50:16,"dch","5","08",23.23,8.37,7.77,4.656445
14:50:17,"dch","5","08",23.21,8.39,7.59,4.656384
14:50:18,"dch","5","08",23.17,8.37,7.71,4.656317
14:50:19,"dch","5","08",23.19,8.43,7.27,4.656252
14:50:20,"dch","5","08",23.21,8.41,7.35,4.656185
14:50:21,"dch","5","08",23.21,8.39,7.59,4.656105
14:50:22,"dch","5","08",23.23,8.43,7.79,4.656036
14:50:23,"dch","5","08",23.27,8.45,7.59,4.655954
14:50:24,"dch","5","08",23.03,8.21,7.35,4.655881
14:50:25,"dch","5","08",23.23,8.35,8.07,4.6558
14:50:26,"dch","5","08",23.17,8.33,7.45,4.655719
14:50:27,"dch","5","08",23.21,8.43,7.25,4.655645
14:50:28,"dch","5","08",23.15,8.31,7.53,4.655572
14:50:29,"dch","5","08",23.21,8.39,7.43,4.655513
14:50:30,"dch","5","08",23.09,8.37,7.71,4.655451
14:50:31,"dch","5","08",23.17,8.35,7.33,4.655393
14:50:32,"dch","5","08",23.19,8.45,7.27,4.655341
14:50:33,"dch","5","08",23.15,8.23,7.47,4.655299
14:50:34,"dch","5","08",23.17,8.41,7.25,4.655257
14:50:36,"dch","5","08",23.21,8.31,8.21,4.655182
14:50:37,"dch","5","08",23.19,8.35,7.75,4.655153
14:50:38,"dch","5","08",23.21,8.35,7.89,4.655129
14:50:40,"dch","5","08",23.21,8.37,7.99,4.655092
14:50:41,"dch","5","08",23.17,8.39,7.19,4.655062
14:50:42,"dch","5","08",23.21,8.37,7.93,4.655047
14:50:43,"dch","5","08",23.17,8.39,7.25,4.655034
14:50:44,"dch","5","08",23.17,8.33,7.75,4.655022
14:50:45,"dch","5","08",23.19,8.39,7.97,4.655022
14:50:46,"dch","5","08",23.13,8.29,7.47,4.65501
14:50:47,"dch","5","08",23.19,8.37,7.65,4.655009
14:50:48,"dch","5","08",23.21,8.37,7.89,4.655004
14:50:49,"dch","5","08",23.17,8.43,7.03,4.655002
14:50:50,"dch","5","08",23.21,8.41,6.97,4.655004
14:50:51,"dch","5","08",23.21,8.39,7.65,4.655008
14:50:52,"dch","5","08",23.21,8.35,7.21,4.655009
14:50:53,"dch","5","08",23.21,8.37,7.69,4.655006
14:50:54,"dch","5","08",23.17,8.37,7.85,4.655005
14:50:55,"dch","5","08",23.19,8.29,7.59,4.655
14:50:56,"dch","5","08",23.19,8.35,7.09,4.654997
14:50:57,"dch","5","08",23.17,8.35,7.61,4.655001
14:50:58,"dch","5","08",23.23,8.37,7.67,4.654995
14:50:59,"dch","5","08",23.17,8.31,7.59,4.654976
14:51:00,"dch","5","08",23.19,8.37,7.33,4.654974
14:51:01,"dch","5","08",23.17,8.31,7.69,4.654967
14:51:02,"dch","5","08",23.19,8.37,7.51,4.654963
14:51:03,"dch","5","08",23.19,8.37,7.27,4.654941
14:51:04,"dch","5","08",23.17,8.33,7.79,4.654935
14:51:05,"dch","5","08",23.07,8.25,7.67,4.654922
14:51:06,"dch","5","08",23.17,8.35,7.75,4.654914
14:51:07,"dch","5","08",23.19,8.33,8.03,4.654892
14:51:08,"dch","5","08",23.19,8.39,8.07,4.65487
14:51:09,"dch","5","08",23.19,8.39,7.71,4.654845
14:51:10,"dch","5","08",23.15,8.33,7.71,4.654823
