"t","type","k","id","Ta","To","To2","T"
16:32:29,"dch","40","04",25.11,40.59,41.33,39.588673
16:32:30,"dch","40","04",25.13,40.61,41.31,39.588642
16:32:31,"dch","40","04",25.09,40.57,41.53,39.588624
16:32:32,"dch","40","04",25.11,40.61,42.07,39.588608
16:32:33,"dch","40","04",25.11,40.55,41.89,39.588599
16:32:34,"dch","40","04",25.13,40.55,41.13,39.588582
16:32:35,"dch","40","04",25.11,40.55,40.91,39.588576
16:32:36,"dch","40","04",25.17,40.61,41.21,39.588556
16:32:37,"dch","40","04",25.15,40.53,40.69,39.588549
16:32:38,"dch","40","04",25.11,40.49,40.05,39.588539
16:32:39,"dch","40","04",25.09,40.47,39.69,39.588511
16:32:40,"dch","40","04",25.09,40.47,39.55,39.588514
16:32:41,"dch","40","04",25.11,40.55,39.91,39.588505
16:32:42,"dch","40","04",25.09,40.47,39.95,39.588481
16:32:43,"dch","40","04",25.15,40.55,40.53,39.58848
16:32:44,"dch","40","04",25.09,40.49,40.01,39.588468
16:32:45,"dch","40","04",25.11,40.51,40.91,39.58845
16:32:46,"dch","40","04",25.07,40.45,40.81,39.588448
16:32:47,"dch","40","04",25.13,40.45,39.89,39.588444
16:32:48,"dch","40","04",25.09,40.49,39.79,39.588443
16:32:49,"dch","40","04",25.11,40.51,39.89,39.588433
16:32:50,"dch","40","04",25.09,40.53,40.43,39.588429
16:32:51,"dch","40","04",25.15,40.59,41.33,39.588424
16:32:52,"dch","40","04",25.13,40.51,41.07,39.58842
16:32:53,"dch","40","04",25.11,40.51,40.21,39.588412
16:32:54,"dch","40","04",25.15,40.55,40.39,39.588404
16:32:55,"dch","40","04",25.13,40.55,40.93,39.588397
16:32:56,"dch","40","04",25.11,40.51,40.75,39.588397
16:32:57,"dch","40","04",25.13,40.55,40.81,39.588397
16:32:58,"dch","40","04",25.15,40.57,39.79,39.588394
16:32:59,"dch","40","04",25.09,40.59,39.53,39.588387
16:33:00,"dch","40","04",25.09,40.53,41.41,39.588384
16:33:01,"dch","40","04",25.11,40.57,42.29,39.588373
16:33:02,"dch","40","04",25.09,40.57,42.25,39.588368
16:33:03,"dch","40","04",25.17,40.57,41.95,39.588344
16:33:04,"dch","40","04",25.15,40.57,41.13,39.588334
16:33:05,"dch","40","04",25.19,40.53,40.29,39.588325
16:33:06,"dch","40","04",25.21,40.49,39.79,39.588324
16:33:07,"dch","40","04",25.17,40.43,39.19,39.588316
16:33:08,"dch","40","04",25.15,40.41,39.13,39.58831
16:33:09,"dch","40","04",25.15,40.41,38.97,39.588317
16:33:10,"dch","40","04",25.17,40.41,39.13,39.588313
16:33:11,"dch","40","04",25.13,40.43,38.97,39.588309
16:33:12,"dch","40","04",25.13,40.53,39.33,39.588318
16:33:13,"dch","40","04",25.13,40.55,40.55,39.588312
16:33:14,"dch","40","04",25.19,40.55,42.37,39.588308
16:33:15,"dch","40","04",25.13,40.49,42.73,39.588318
16:33:16,"dch","40","04",25.21,40.55,41.47,39.588312
16:33:17,"dch","40","04",25.17,40.45,41.31,39.588305
16:33:18,"dch","40","04",25.19,40.45,40.59,39.588299
16:33:19,"dch","40","04",25.17,40.47,39.63,39.588306
16:33:20,"dch","40","04",25.17,40.51,39.37,39.588313
16:33:21,"dch","40","04",25.13,40.55,40.09,39.588325
16:33:22,"dch","40","04",25.17,40.53,40.09,39.588332
16:33:23,"dch","40","04",25.21,40.49,40.77,39.588335
16:33:24,"dch","40","04",25.21,40.61,41.01,39.588344
16:33:25,"dch","40","04",25.19,40.51,40.81,39.588348
16:33:26,"dch","40","04",25.17,40.41,39.27,39.58835
16:33:27,"dch","40","04",25.23,40.45,39.39,39.588359
16:33:28,"dch","40","04",25.21,40.39,39.25,39.588364
16:33:29,"dch","40","04",25.21,40.41,38.89,39.58837
16:33:30,"dch","40","04",25.19,40.39,39.09,39.588388
16:33:31,"dch","40","04",25.19,40.45,38.75,39.588397
16:33:32,"dch","40","04",25.15,40.51,38.37,39.588403
