"t","Ta","To","To2","T"
15:54:08,25.53,41.95,94.21,39.582817
15:54:09,25.61,41.75,86.91,39.582875
15:54:10,25.63,41.53,79.29,39.582927
15:54:11,25.65,41.39,73.45,39.582986
15:54:12,25.65,41.21,70.27,39.583047
15:54:13,25.69,41.17,68.85,39.5831
15:54:14,25.67,40.97,68.13,39.583162
15:54:15,25.69,40.99,64.61,39.583227
15:54:16,25.71,40.91,60.69,39.583272
15:54:17,25.67,40.81,58.89,39.583329
15:54:18,25.75,40.81,56.23,39.583377
15:54:19,25.75,40.97,55.45,39.583422
15:54:20,25.73,40.81,54.85,39.583455
15:54:21,25.73,40.95,53.03,39.583498
15:54:22,25.73,40.93,52.79,39.583539
15:54:23,25.75,40.81,53.91,39.583581
15:54:24,25.73,40.91,54.25,39.583627
15:54:25,25.75,40.87,54.51,39.583668
15:54:26,25.73,40.67,55.87,39.583713
15:54:27,25.73,40.71,52.91,39.583752
15:54:28,25.75,40.85,51.47,39.583783
15:54:29,25.71,40.69,50.13,39.583813
15:54:30,25.75,40.81,50.41,39.583843
15:54:31,25.73,40.75,51.29,39.583863
15:54:32,25.77,40.61,52.59,39.583891
15:54:33,25.75,40.91,49.89,39.583932
15:54:34,25.75,40.67,49.45,39.583962
15:54:35,25.69,40.69,49.61,39.583987
15:54:36,25.73,40.73,49.77,39.584021
15:54:37,25.73,40.69,51.17,39.584042
15:54:38,25.73,40.67,50.93,39.584069
15:54:39,25.73,40.75,51.57,39.584097
15:54:40,25.75,40.61,49.81,39.584127
15:54:41,25.77,40.67,48.53,39.584159
15:54:42,25.75,40.89,51.17,39.584191
15:54:43,25.77,40.79,49.61,39.584222
15:54:44,25.75,40.83,51.93,39.584247
15:54:45,25.73,40.73,47.77,39.584268
15:54:46,25.75,40.75,50.39,39.584298
15:54:47,25.73,40.65,48.67,39.584321
15:54:48,25.73,40.67,50.01,39.584357
15:54:49,25.75,40.67,49.49,39.584386
15:54:50,25.77,40.71,50.07,39.584407
15:54:51,25.77,40.75,50.19,39.584425
15:54:52,25.79,40.59,51.15,39.584451
15:54:53,25.77,40.81,48.11,39.584481
15:54:54,25.75,40.73,49.33,39.584502
15:54:55,25.75,40.63,48.35,39.584518
15:54:56,25.75,40.69,45.95,39.584545
15:54:57,25.73,40.79,46.37,39.58457
15:54:58,25.67,40.69,48.47,39.584592
15:54:59,25.75,40.81,49.53,39.584605
15:55:00,25.75,40.67,48.15,39.584636
15:55:01,25.75,40.57,47.91,39.584664
15:55:02,25.73,40.67,47.85,39.584683
15:55:03,25.79,40.79,44.27,39.58469
15:55:04,25.75,40.69,45.83,39.58471
15:55:05,25.81,40.75,47.37,39.584734
15:55:06,25.75,40.69,46.39,39.584739
15:55:07,25.73,40.63,47.09,39.58476
15:55:08,25.75,40.65,47.71,39.584772
15:55:09,25.73,40.67,46.89,39.584792
15:55:10,25.75,40.73,44.25,39.584796
15:55:11,25.75,40.75,48.29,39.584807
