"t","type","k","id","Ta","To","To2","T"
14:39:35,"dch","5","02",23.23,8.03,9.95,4.661438
14:39:36,"dch","5","02",23.27,7.95,10.03,4.661281
14:39:37,"dch","5","02",23.25,8.03,9.31,4.66112
14:39:38,"dch","5","02",23.25,7.97,8.21,4.660957
14:39:39,"dch","5","02",23.27,7.95,8.91,4.660797
14:39:40,"dch","5","02",23.29,8.09,9.11,4.660632
14:39:41,"dch","5","02",23.25,7.91,9.05,4.660467
14:39:42,"dch","5","02",23.25,8.01,8.73,4.660293
14:39:43,"dch","5","02",23.27,7.97,8.57,4.660126
14:39:44,"dch","5","02",23.29,8.03,9.11,4.65995
14:39:45,"dch","5","02",23.31,8.07,8.81,4.659773
14:39:46,"dch","5","02",23.33,8.01,8.91,4.659592
14:39:47,"dch","5","02",23.25,8.03,8.47,4.659408
14:39:48,"dch","5","02",23.27,7.99,8.81,4.659209
14:39:49,"dch","5","02",23.23,7.97,8.21,4.65903
14:39:50,"dch","5","02",23.23,7.93,8.39,4.658846
14:39:51,"dch","5","02",23.29,8.03,8.81,4.658652
14:39:52,"dch","5","02",23.27,8.03,8.55,4.658458
14:39:53,"dch","5","02",23.33,8.03,8.59,4.658263
14:39:54,"dch","5","02",23.31,8.11,8.71,4.658068
14:39:55,"dch","5","02",23.25,8.01,8.47,4.65787
14:39:56,"dch","5","02",23.21,7.93,8.73,4.657672
14:39:57,"dch","5","02",23.25,7.99,9.17,4.657472
14:39:58,"dch","5","02",23.29,8.05,8.77,4.657277
14:39:59,"dch","5","02",23.27,7.99,8.43,4.657089
14:40:00,"dch","5","02",23.25,8.07,8.49,4.65689
14:40:01,"dch","5","02",23.27,8.03,8.43,4.6567
14:40:02,"dch","5","02",23.25,8.13,9.17,4.656513
14:40:03,"dch","5","02",23.25,7.95,8.87,4.656328
14:40:04,"dch","5","02",23.25,8.03,8.69,4.656154
14:40:05,"dch","5","02",23.21,8.01,8.23,4.655983
14:40:06,"dch","5","02",23.21,7.97,8.11,4.655817
14:40:07,"dch","5","02",23.23,7.91,8.57,4.655654
14:40:08,"dch","5","02",23.25,8.05,8.01,4.655486
14:40:09,"dch","5","02",23.23,7.91,8.35,4.655316
14:40:10,"dch","5","02",23.29,8.09,8.55,4.655161
14:40:11,"dch","5","02",23.23,8.03,8.43,4.655005
14:40:12,"dch","5","02",23.27,8.11,7.99,4.654859
14:40:13,"dch","5","02",23.27,8.01,8.85,4.654726
14:40:14,"dch","5","02",23.11,7.83,8.49,4.654599
14:40:15,"dch","5","02",23.27,8.09,8.29,4.654472
14:40:16,"dch","5","02",23.25,8.01,8.63,4.654339
14:40:17,"dch","5","02",23.21,7.99,8.75,4.654225
14:40:18,"dch","5","02",23.21,7.95,9.01,4.654123
14:40:19,"dch","5","02",23.29,8.07,8.69,4.654016
14:40:20,"dch","5","02",23.23,8.01,8.47,4.65392
14:40:21,"dch","5","02",23.25,8.05,8.61,4.653838
14:40:22,"dch","5","02",23.23,8.05,8.41,4.653764
14:40:23,"dch","5","02",23.27,7.99,8.75,4.653691
14:40:24,"dch","5","02",23.29,8.07,8.11,4.653632
14:40:25,"dch","5","02",23.25,8.03,8.69,4.653583
14:40:26,"dch","5","02",23.27,7.99,8.75,4.653542
14:40:27,"dch","5","02",23.23,8.05,8.21,4.653515
14:40:28,"dch","5","02",23.21,7.95,8.73,4.653498
14:40:29,"dch","5","02",23.21,7.95,8.77,4.653486
14:40:30,"dch","5","02",23.27,8.03,8.69,4.653484
14:40:31,"dch","5","02",23.23,8.07,8.63,4.653489
14:40:32,"dch","5","02",23.05,7.85,8.51,4.653502
14:40:33,"dch","5","02",23.27,8.05,9.01,4.653526
14:40:34,"dch","5","02",23.19,8.03,8.67,4.653551
14:40:35,"dch","5","02",23.25,8.03,8.77,4.653575
14:40:36,"dch","5","02",23.19,7.97,8.65,4.653608
14:40:37,"dch","5","02",23.25,7.99,8.95,4.653656
14:40:38,"dch","5","02",23.21,7.91,8.51,4.65371
14:40:39,"dch","5","02",23.21,7.95,8.45,4.653773
14:40:40,"dch","5","02",23.23,8.07,8.23,4.653831
14:40:41,"dch","5","02",23.23,8.07,8.37,4.653899
