"t","Ta","To","To2","T"
14:43:08,23.21,7.97,6.55,4.659855
14:43:09,23.21,8.05,6.65,4.659891
14:43:10,23.17,8.15,7.63,4.659911
14:43:11,23.21,8.13,7.37,4.659934
14:43:12,23.25,8.09,8.47,4.659943
14:43:13,23.21,8.07,8.13,4.659958
14:43:14,23.17,8.05,8.11,4.659966
14:43:15,23.17,8.01,8.63,4.659969
14:43:16,23.13,8.03,8.75,4.659979
14:43:17,23.17,8.05,8.85,4.659987
14:43:18,23.21,8.11,9.01,4.659984
14:43:19,23.19,8.13,8.55,4.659975
14:43:20,23.19,8.03,9.03,4.659978
14:43:21,23.17,8.05,9.05,4.659969
14:43:22,23.21,8.15,9.47,4.659957
14:43:23,23.17,8.11,8.49,4.659959
14:43:24,23.15,7.99,8.65,4.659955
14:43:25,23.19,8.09,8.35,4.659957
14:43:26,23.17,8.03,8.55,4.659954
14:43:27,23.21,8.09,9.15,4.659947
14:43:28,23.21,8.13,8.89,4.659949
14:43:29,23.19,8.03,9.21,4.659939
14:43:30,23.17,8.01,9.09,4.659937
14:43:31,23.17,8.09,8.69,4.659929
14:43:32,23.17,8.09,8.61,4.659921
14:43:33,23.19,8.07,9.25,4.659898
14:43:34,23.17,8.09,9.07,4.65987
14:43:35,23.21,8.07,9.57,4.659846
14:43:36,23.21,8.11,9.41,4.659814
14:43:37,23.17,8.07,9.21,4.659773
14:43:38,23.21,8.11,8.67,4.659733
14:43:39,23.19,7.97,9.45,4.659692
14:43:40,23.19,8.13,8.51,4.65965
14:43:41,23.17,7.99,9.43,4.659604
14:43:42,23.19,8.13,9.35,4.659566
14:43:43,23.17,8.05,9.27,4.659517
14:43:44,23.17,8.09,9.57,4.659482
14:43:45,23.17,8.09,9.09,4.659445
14:43:46,23.17,8.11,9.41,4.6594
14:43:47,23.17,8.13,9.09,4.659359
14:43:48,23.17,8.05,9.33,4.659315
14:43:49,23.17,8.07,9.21,4.659277
14:43:50,23.15,8.07,8.51,4.659234
14:43:51,23.13,7.97,9.17,4.659198
14:43:52,23.17,8.11,9.01,4.659158
14:43:53,23.19,8.09,9.09,4.659116
14:43:54,23.17,8.07,8.83,4.659081
14:43:55,23.19,8.07,9.17,4.659048
14:43:56,23.19,8.05,9.21,4.659037
14:43:57,23.13,7.97,9.27,4.659025
14:43:58,23.17,8.09,9.27,4.659002
14:43:59,23.17,8.07,9.35,4.65899
14:44:00,23.17,8.07,9.19,4.658985
14:44:01,23.15,8.11,9.05,4.658982
14:44:02,23.17,8.11,9.59,4.658978
14:44:03,23.11,7.93,8.87,4.658988
14:44:04,23.17,8.09,8.79,4.658994
14:44:05,23.19,8.05,9.41,4.65901
14:44:06,23.15,8.05,9.05,4.659032
14:44:07,23.13,8.09,9.39,4.659062
14:44:08,23.15,8.11,9.15,4.659094
14:44:09,23.17,8.07,8.31,4.659137
14:44:10,23.15,8.11,8.87,4.659178
14:44:11,23.17,8.15,8.61,4.659221
14:44:12,23.17,8.07,9.33,4.65926
14:44:13,23.17,8.03,9.45,4.65931
