"t","Ta","To","To2","T"
15:49:37,24.09,26.17,24.95,24.612168
15:49:39,24.11,26.19,25.43,24.612185
15:49:40,24.09,26.17,25.19,24.612193
15:49:41,24.05,26.05,25.03,24.612202
15:49:42,24.11,26.15,25.21,24.612209
15:49:43,24.09,26.13,24.51,24.61222
15:49:44,24.03,26.05,25.07,24.612217
15:49:45,24.07,26.19,24.87,24.61221
15:49:46,24.11,26.23,24.95,24.612223
15:49:47,24.05,26.11,25.13,24.612229
15:49:48,24.11,26.15,25.19,24.612237
15:49:49,24.13,26.17,25.21,24.612233
15:49:50,24.13,26.21,25.09,24.612231
15:49:51,24.03,26.11,25.29,24.612231
15:49:52,24.11,26.19,24.69,24.612215
15:49:53,24.09,26.27,25.15,24.612202
15:49:54,23.99,26.01,24.91,24.612198
15:49:55,24.07,26.13,25.17,24.612196
15:49:56,24.05,25.99,24.79,24.61218
15:49:57,24.03,26.13,24.83,24.612164
15:49:58,24.07,26.13,25.21,24.612161
15:49:59,24.11,26.15,25.17,24.61214
15:50:00,24.05,26.21,25.17,24.612126
15:50:01,24.11,26.19,25.67,24.612118
15:50:02,24.01,26.11,24.55,24.612099
15:50:03,24.03,26.09,25.19,24.612093
15:50:04,24.05,26.05,25.37,24.612083
15:50:05,24.05,26.15,25.21,24.612069
15:50:06,24.07,26.19,25.09,24.612047
15:50:07,24.03,26.17,25.13,24.61203
15:50:08,24.07,26.21,25.25,24.61201
15:50:09,24.09,26.13,25.09,24.612003
15:50:10,24.09,26.19,25.23,24.611983
15:50:11,24.11,26.17,25.05,24.611961
15:50:12,24.13,26.17,24.89,24.611946
15:50:13,24.05,26.15,24.83,24.611926
15:50:14,24.01,26.19,24.91,24.611904
15:50:15,24.05,26.23,24.75,24.611883
15:50:16,24.07,26.15,25.15,24.611858
15:50:17,24.03,26.15,25.15,24.611825
15:50:18,24.05,26.19,24.89,24.61181
15:50:19,24.05,26.15,25.39,24.61178
15:50:20,24.05,26.13,25.31,24.611764
15:50:21,24.05,26.15,25.23,24.611747
15:50:22,24.07,26.15,24.83,24.611731
15:50:23,24.09,26.21,25.25,24.61172
15:50:24,24.07,26.21,25.53,24.611694
15:50:25,23.89,26.03,25.37,24.611675
15:50:26,24.05,26.13,25.23,24.611663
15:50:27,24.07,26.15,25.15,24.611646
15:50:28,24.09,26.17,25.07,24.611629
15:50:29,24.09,26.17,25.71,24.611619
15:50:30,23.87,26.19,25.19,24.611605
15:50:31,24.09,26.19,25.17,24.611586
15:50:32,24.07,26.13,25.05,24.611581
15:50:33,24.05,26.17,24.87,24.611568
15:50:34,24.03,26.15,25.21,24.611554
15:50:35,24.07,26.17,25.07,24.611551
15:50:36,24.09,26.17,24.73,24.611559
15:50:37,24.07,26.17,24.97,24.611549
15:50:38,24.03,26.19,25.49,24.611542
15:50:39,24.11,26.17,25.21,24.611535
15:50:40,24.05,26.15,25.19,24.611537
