"t","Ta","To","To2","T"
15:59:10,24.05,26.15,21.21,24.611468
15:59:11,24.05,26.15,21.57,24.611484
15:59:12,24.03,26.21,21.21,24.611503
15:59:13,24.07,26.21,21.43,24.611511
15:59:14,24.03,26.15,21.13,24.61152
15:59:15,24.05,26.15,21.59,24.611535
15:59:16,24.07,26.17,21.85,24.61155
15:59:17,24.03,26.15,21.93,24.611568
15:59:18,24.09,26.23,21.61,24.611583
15:59:19,24.03,26.09,21.59,24.611598
15:59:20,24.03,26.11,21.71,24.611614
15:59:21,24.07,26.19,21.69,24.61162
15:59:22,24.07,26.13,21.77,24.611626
15:59:23,24.05,26.19,21.83,24.611636
15:59:24,24.07,26.23,21.89,24.611651
15:59:25,24.03,26.17,21.49,24.611665
15:59:26,24.07,26.19,22.11,24.611673
15:59:27,24.05,26.17,21.97,24.611676
15:59:28,24.03,26.11,22.31,24.611685
15:59:29,24.03,26.19,21.81,24.611706
15:59:30,24.03,26.13,21.93,24.611713
15:59:31,24.05,26.11,22.37,24.611731
15:59:32,24.01,26.11,21.71,24.611745
15:59:33,23.99,25.95,21.99,24.611761
15:59:34,24.01,26.17,21.85,24.611775
15:59:35,24.03,26.17,22.05,24.611801
15:59:36,24.03,26.21,22.11,24.611816
15:59:37,24.03,26.17,22.53,24.611834
15:59:38,24.03,26.13,22.43,24.611854
15:59:39,24.07,26.17,22.33,24.611879
15:59:40,24.03,26.11,22.65,24.611888
15:59:41,24.05,26.17,22.55,24.611912
15:59:42,24.05,26.19,22.35,24.611928
15:59:43,24.07,26.27,22.41,24.61196
15:59:44,24.05,26.17,22.27,24.611983
15:59:45,24.05,26.13,22.79,24.612004
15:59:46,23.99,26.15,22.53,24.612021
15:59:47,24.01,26.15,22.69,24.612044
15:59:48,24.03,26.15,22.65,24.612069
15:59:49,24.05,26.23,22.93,24.612092
15:59:50,24.01,26.17,22.63,24.612113
15:59:51,24.01,26.15,22.67,24.612144
15:59:52,24.01,26.17,22.51,24.612175
15:59:53,24.05,26.21,22.87,24.612199
15:59:54,24.03,26.19,22.63,24.612227
15:59:55,24.07,26.03,22.81,24.612242
15:59:56,24.05,26.19,22.41,24.612274
15:59:57,24.03,26.19,22.57,24.612306
15:59:58,24.01,26.19,22.67,24.612343
15:59:59,23.97,26.11,22.71,24.612368
16:00:00,24.01,26.09,22.79,24.612392
16:00:01,24.03,26.17,22.57,24.612423
16:00:02,24.01,26.13,22.91,24.612446
16:00:03,24.01,26.21,22.89,24.612468
16:00:04,24.07,26.17,22.87,24.612491
16:00:05,23.99,26.07,23.11,24.612509
16:00:06,24.03,26.17,22.73,24.612529
16:00:07,24.03,26.17,22.67,24.612549
16:00:08,24.03,26.13,23.01,24.612567
16:00:09,24.07,26.17,22.97,24.612583
16:00:10,24.03,26.15,22.87,24.612604
16:00:11,24.03,26.15,22.73,24.612621
16:00:12,24.03,26.17,23.07,24.612631
16:00:13,24.01,26.15,22.83,24.612642
16:00:14,24.03,26.23,22.89,24.612656
16:00:15,23.97,26.13,22.85,24.612669
16:00:16,23.99,26.13,23.05,24.612683
