"t","type","k","id","Ta","To","To2","T"
15:51:49,"dch","25","02",23.87,25.93,24.63,24.612638
15:51:50,"dch","25","02",23.81,25.97,24.61,24.61264
15:51:51,"dch","25","02",23.91,26.01,24.99,24.612644
15:51:52,"dch","25","02",23.85,26.09,24.59,24.612653
15:51:53,"dch","25","02",23.87,26.05,24.51,24.612664
15:51:54,"dch","25","02",23.87,26.07,24.99,24.61268
15:51:55,"dch","25","02",23.85,26.05,24.57,24.61268
15:51:56,"dch","25","02",23.85,26.03,25.05,24.61269
15:51:57,"dch","25","02",23.85,26.01,24.43,24.61271
15:51:58,"dch","25","02",23.87,25.99,24.71,24.612721
15:51:59,"dch","25","02",23.87,26.07,24.51,24.612727
15:52:00,"dch","25","02",23.87,25.97,24.67,24.61274
15:52:01,"dch","25","02",23.83,25.97,24.35,24.612736
15:52:02,"dch","25","02",23.83,26.03,24.65,24.612751
15:52:03,"dch","25","02",23.83,26.05,24.55,24.61276
15:52:05,"dch","25","02",23.87,26.05,24.39,24.612773
15:52:07,"dch","25","02",23.83,26.03,24.33,24.612785
15:52:09,"dch","25","02",23.85,26.09,24.37,24.612799
15:52:10,"dch","25","02",23.83,25.93,24.51,24.612803
15:52:11,"dch","25","02",23.83,26.07,24.39,24.612811
15:52:12,"dch","25","02",23.85,26.05,24.23,24.612813
15:52:13,"dch","25","02",23.83,26.05,24.59,24.612821
15:52:14,"dch","25","02",23.83,25.99,24.61,24.612825
15:52:15,"dch","25","02",23.85,26.07,24.41,24.612819
15:52:16,"dch","25","02",23.83,26.07,24.39,24.612832
15:52:17,"dch","25","02",23.83,25.97,24.77,24.61283
15:52:18,"dch","25","02",23.85,26.11,24.27,24.612833
15:52:19,"dch","25","02",23.83,26.07,24.89,24.612838
15:52:20,"dch","25","02",23.73,25.85,24.81,24.612844
15:52:21,"dch","25","02",23.85,26.03,24.43,24.612852
15:52:22,"dch","25","02",23.85,26.03,24.57,24.612852
15:52:23,"dch","25","02",23.83,26.03,24.89,24.612858
15:52:24,"dch","25","02",23.85,26.01,24.59,24.612854
15:52:25,"dch","25","02",23.87,25.99,24.65,24.612859
15:52:26,"dch","25","02",23.87,26.07,24.43,24.612863
15:52:27,"dch","25","02",23.87,26.05,24.77,24.612875
15:52:28,"dch","25","02",23.87,26.03,24.85,24.612871
15:52:29,"dch","25","02",23.81,26.05,24.15,24.612874
15:52:30,"dch","25","02",23.87,26.03,24.53,24.612874
15:52:31,"dch","25","02",23.87,26.03,24.73,24.612869
15:52:32,"dch","25","02",23.85,26.01,24.79,24.612874
15:52:33,"dch","25","02",23.89,26.09,24.43,24.612875
15:52:34,"dch","25","02",23.79,25.99,24.75,24.612882
15:52:35,"dch","25","02",23.87,26.11,24.95,24.612892
15:52:36,"dch","25","02",23.87,26.01,24.65,24.612899
15:52:37,"dch","25","02",23.81,26.01,24.47,24.612906
15:52:38,"dch","25","02",23.87,26.05,24.81,24.612902
15:52:39,"dch","25","02",23.83,26.07,24.55,24.612908
15:52:40,"dch","25","02",23.79,25.99,24.43,24.612918
15:52:41,"dch","25","02",23.79,25.97,24.77,24.612911
15:52:42,"dch","25","02",23.87,26.05,24.45,24.612916
15:52:43,"dch","25","02",23.81,26.07,24.41,24.612909
15:52:44,"dch","25","02",23.85,25.99,24.51,24.612918
15:52:45,"dch","25","02",23.85,26.01,24.37,24.612927
15:52:46,"dch","25","02",23.83,25.95,24.73,24.612915
15:52:47,"dch","25","02",23.87,26.03,24.65,24.612908
15:52:48,"dch","25","02",23.83,26.01,24.83,24.612901
15:52:49,"dch","25","02",23.83,26.01,24.75,24.6129
15:52:50,"dch","25","02",23.83,26.01,24.63,24.612903
15:52:51,"dch","25","02",23.79,26.03,24.25,24.612896
15:52:52,"dch","25","02",23.81,25.99,24.39,24.612895
15:52:53,"dch","25","02",23.87,26.05,25.03,24.612886
15:52:54,"dch","25","02",23.79,26.05,24.45,24.612884
15:52:55,"dch","25","02",23.77,26.01,24.49,24.612873
15:52:56,"dch","25","02",23.87,25.99,24.53,24.612866
