"t","type","k","id","Ta","To","To2","T"
15:10:57,"dci","25","01",23.71,26.23,23.63,24.612414
15:10:58,"dci","25","01",23.67,26.17,23.55,24.612422
15:10:59,"dci","25","01",23.73,26.17,23.29,24.612424
15:11:00,"dci","25","01",23.71,26.19,23.63,24.612415
15:11:01,"dci","25","01",23.73,26.27,23.33,24.612417
15:11:02,"dci","25","01",23.71,26.13,23.27,24.612406
15:11:03,"dci","25","01",23.71,26.19,23.79,24.612406
15:11:04,"dci","25","01",23.71,26.15,23.73,24.612405
15:11:05,"dci","25","01",23.71,26.15,23.79,24.612403
15:11:06,"dci","25","01",23.71,26.15,23.75,24.612402
15:11:07,"dci","25","01",23.77,26.21,23.53,24.612402
15:11:08,"dci","25","01",23.73,26.19,23.53,24.612396
15:11:09,"dci","25","01",23.69,26.21,23.75,24.612405
15:11:10,"dci","25","01",23.75,26.13,23.83,24.612405
15:11:11,"dci","25","01",23.73,26.21,24.03,24.61241
15:11:12,"dci","25","01",23.67,26.17,23.77,24.612411
15:11:13,"dci","25","01",23.73,26.11,24.25,24.612406
15:11:14,"dci","25","01",23.71,26.25,23.69,24.61241
15:11:15,"dci","25","01",23.73,26.19,24.23,24.612403
15:11:16,"dci","25","01",23.77,26.17,23.99,24.612396
15:11:17,"dci","25","01",23.69,26.19,24.29,24.612393
15:11:18,"dci","25","01",23.79,26.25,24.13,24.612399
15:11:19,"dci","25","01",23.69,26.05,24.31,24.612403
15:11:20,"dci","25","01",23.73,26.21,24.03,24.612403
15:11:21,"dci","25","01",23.77,26.17,23.83,24.612396
15:11:22,"dci","25","01",23.73,26.09,23.53,24.612402
15:11:23,"dci","25","01",23.73,26.25,23.59,24.612412
15:11:24,"dci","25","01",23.71,26.17,24.37,24.612418
15:11:25,"dci","25","01",23.73,26.19,23.75,24.612419
15:11:26,"dci","25","01",23.75,26.19,24.19,24.612436
15:11:27,"dci","25","01",23.73,26.19,23.93,24.612442
15:11:28,"dci","25","01",23.73,26.17,23.89,24.612442
15:11:29,"dci","25","01",23.73,26.21,24.01,24.612457
15:11:30,"dci","25","01",23.71,26.19,23.73,24.612471
15:11:31,"dci","25","01",23.69,26.17,23.91,24.612485
15:11:32,"dci","25","01",23.73,26.13,24.79,24.612508
15:11:33,"dci","25","01",23.71,26.13,24.57,24.612527
15:11:34,"dci","25","01",23.73,26.21,24.39,24.612542
15:11:35,"dci","25","01",23.73,26.23,24.17,24.612545
15:11:36,"dci","25","01",23.73,26.19,24.21,24.612544
15:11:37,"dci","25","01",23.77,26.25,24.15,24.612558
15:11:38,"dci","25","01",23.53,26.27,24.19,24.612577
15:11:39,"dci","25","01",23.73,26.15,24.67,24.61259
15:11:40,"dci","25","01",23.73,26.09,24.11,24.612618
15:11:41,"dci","25","01",23.73,26.15,23.99,24.612639
15:11:42,"dci","25","01",23.73,26.15,23.85,24.612662
15:11:43,"dci","25","01",23.69,26.23,23.77,24.61268
15:11:44,"dci","25","01",23.73,26.21,24.03,24.612684
15:11:45,"dci","25","01",23.69,26.11,24.17,24.612703
15:11:46,"dci","25","01",23.73,26.21,24.37,24.612719
15:11:47,"dci","25","01",23.69,26.09,24.23,24.612734
15:11:48,"dci","25","01",23.69,26.19,24.17,24.612747
15:11:49,"dci","25","01",23.71,26.11,24.13,24.612764
15:11:50,"dci","25","01",23.75,26.15,24.57,24.612779
15:11:51,"dci","25","01",23.75,26.17,24.21,24.612794
15:11:53,"dci","25","01",23.71,26.19,24.09,24.612826
15:11:54,"dci","25","01",23.71,26.25,24.43,24.612838
15:11:55,"dci","25","01",23.73,26.25,24.29,24.612853
15:11:56,"dci","25","01",23.69,26.27,24.09,24.612871
15:11:57,"dci","25","01",23.73,26.15,24.17,24.612887
15:11:58,"dci","25","01",23.73,26.13,24.19,24.612902
15:11:59,"dci","25","01",23.73,26.11,24.01,24.612914
15:12:00,"dci","25","01",23.63,26.05,24.49,24.612937
